bidVolume,bidPrice,askVolume,askPrice,timestamp
38,5336.25,53,5336.5,08:00:00.012466343
38,5336.25,53,5336.5,08:00:00.012615671
38,5336.25,53,5336.5,08:00:00.012637105
38,5336.25,53,5336.5,08:00:00.012646901
38,5336.25,53,5336.5,08:00:00.012654241
38,5336.25,54,5336.5,08:00:00.013348726
38,5336.25,55,5336.5,08:00:00.013481678
34,5336.25,55,5336.5,08:00:00.014155434
33,5336.25,55,5336.5,08:00:00.014155434
139,5336.0,55,5336.5,08:00:00.014638157
139,5336.0,55,5336.5,08:00:00.014638157
139,5336.0,2,5336.25,08:00:00.014638157
139,5336.0,5,5336.25,08:00:00.014642141
139,5336.0,6,5336.25,08:00:00.014642141
139,5336.0,8,5336.25,08:00:00.014648995
139,5336.0,9,5336.25,08:00:00.014654490
118,5336.0,9,5336.25,08:00:00.014678679
118,5336.0,9,5336.25,08:00:00.014721048
118,5336.0,9,5336.25,08:00:00.014729583
118,5336.0,8,5336.25,08:00:00.014914751
118,5336.0,8,5336.25,08:00:00.014914751
118,5336.0,8,5336.25,08:00:00.014914751
118,5336.0,10,5336.25,08:00:00.014914751
118,5336.0,11,5336.25,08:00:00.014914751
118,5336.0,12,5336.25,08:00:00.014914751
118,5336.0,12,5336.25,08:00:00.014914751
118,5336.0,12,5336.25,08:00:00.014914751
118,5336.0,13,5336.25,08:00:00.014914751
118,5336.0,15,5336.25,08:00:00.014914751
118,5336.0,16,5336.25,08:00:00.014914751
118,5336.0,20,5336.25,08:00:00.014922470
118,5336.0,21,5336.25,08:00:00.014930553
118,5336.0,23,5336.25,08:00:00.014939648
118,5336.0,23,5336.25,08:00:00.014945398
118,5336.0,23,5336.25,08:00:00.014990100
117,5336.0,23,5336.25,08:00:00.015017777
117,5336.0,26,5336.25,08:00:00.015027358
117,5336.0,27,5336.25,08:00:00.015032395
117,5336.0,28,5336.25,08:00:00.015044137
117,5336.0,28,5336.25,08:00:00.015044137
117,5336.0,31,5336.25,08:00:00.015049067
117,5336.0,32,5336.25,08:00:00.015088035
110,5336.0,32,5336.25,08:00:00.015095232
110,5336.0,33,5336.25,08:00:00.015108909
110,5336.0,33,5336.25,08:00:00.015142554
111,5336.0,33,5336.25,08:00:00.015148897
111,5336.0,34,5336.25,08:00:00.015154836
111,5336.0,34,5336.25,08:00:00.015163099
111,5336.0,34,5336.25,08:00:00.015169646
111,5336.0,34,5336.25,08:00:00.015182625
111,5336.0,38,5336.25,08:00:00.015187425
111,5336.0,38,5336.25,08:00:00.015196322
111,5336.0,38,5336.25,08:00:00.015219314
111,5336.0,37,5336.25,08:00:00.015224377
111,5336.0,36,5336.25,08:00:00.015230322
112,5336.0,36,5336.25,08:00:00.015243955
111,5336.0,36,5336.25,08:00:00.015266486
110,5336.0,36,5336.25,08:00:00.015308285
110,5336.0,37,5336.25,08:00:00.015313636
110,5336.0,36,5336.25,08:00:00.015586476
81,5336.0,36,5336.25,08:00:00.015586476
81,5336.0,36,5336.25,08:00:00.015586476
81,5336.0,36,5336.25,08:00:00.015586476
80,5336.0,36,5336.25,08:00:00.015586476
80,5336.0,37,5336.25,08:00:00.015586476
80,5336.0,38,5336.25,08:00:00.015586476
80,5336.0,38,5336.25,08:00:00.015586476
80,5336.0,38,5336.25,08:00:00.015586476
80,5336.0,38,5336.25,08:00:00.015586476
80,5336.0,38,5336.25,08:00:00.015586476
80,5336.0,39,5336.25,08:00:00.015586476
80,5336.0,39,5336.25,08:00:00.015586476
80,5336.0,39,5336.25,08:00:00.015586476
80,5336.0,39,5336.25,08:00:00.015586476
80,5336.0,40,5336.25,08:00:00.015620851
80,5336.0,40,5336.25,08:00:00.015639947
80,5336.0,39,5336.25,08:00:00.015663333
80,5336.0,38,5336.25,08:00:00.015676546
80,5336.0,38,5336.25,08:00:00.015688530
69,5336.0,38,5336.25,08:00:00.015723881
68,5336.0,38,5336.25,08:00:00.015763431
68,5336.0,38,5336.25,08:00:00.015768324
68,5336.0,38,5336.25,08:00:00.015780071
68,5336.0,38,5336.25,08:00:00.015789022
67,5336.0,38,5336.25,08:00:00.015802081
67,5336.0,39,5336.25,08:00:00.015819435
67,5336.0,40,5336.25,08:00:00.015833291
67,5336.0,41,5336.25,08:00:00.015841320
67,5336.0,42,5336.25,08:00:00.015946062
67,5336.0,43,5336.25,08:00:00.015954180
67,5336.0,43,5336.25,08:00:00.015967784
67,5336.0,44,5336.25,08:00:00.015973329
68,5336.0,44,5336.25,08:00:00.016016930
68,5336.0,44,5336.25,08:00:00.016072422
68,5336.0,43,5336.25,08:00:00.016079277
68,5336.0,42,5336.25,08:00:00.016203468
68,5336.0,42,5336.25,08:00:00.016216035
68,5336.0,42,5336.25,08:00:00.016216035
67,5336.0,42,5336.25,08:00:00.016562343
67,5336.0,43,5336.25,08:00:00.016663342
67,5336.0,43,5336.25,08:00:00.016753720
67,5336.0,43,5336.25,08:00:00.016760689
67,5336.0,43,5336.25,08:00:00.016768862
67,5336.0,43,5336.25,08:00:00.016778754
67,5336.0,43,5336.25,08:00:00.016785739
67,5336.0,42,5336.25,08:00:00.016838556
67,5336.0,43,5336.25,08:00:00.017037198
67,5336.0,43,5336.25,08:00:00.017037198
67,5336.0,44,5336.25,08:00:00.017139087
64,5336.0,44,5336.25,08:00:00.017156828
65,5336.0,44,5336.25,08:00:00.017274063
65,5336.0,43,5336.25,08:00:00.017367210
65,5336.0,44,5336.25,08:00:00.017968413
65,5336.0,45,5336.25,08:00:00.018072431
